TIMESTAMP,DATE_TIME_UTC,COUNT,RELATIVE_SENTIMENT
1653393600,"2022-05-24 12:00:00 +00:00",964,0
1653436800,"2022-05-25 00:00:00 +00:00",608,0
1653480000,"2022-05-25 12:00:00 +00:00",1116,0
1653523200,"2022-05-26 00:00:00 +00:00",996,0
1653566400,"2022-05-26 12:00:00 +00:00",1332,0
1653609600,"2022-05-27 00:00:00 +00:00",872,0
1653652800,"2022-05-27 12:00:00 +00:00",1464,0
1653696000,"2022-05-28 00:00:00 +00:00",676,0
1653739200,"2022-05-28 12:00:00 +00:00",836,0
1653782400,"2022-05-29 00:00:00 +00:00",500,0
1653825600,"2022-05-29 12:00:00 +00:00",1480,0
1653868800,"2022-05-30 00:00:00 +00:00",680,0
1653912000,"2022-05-30 12:00:00 +00:00",1216,0
1653955200,"2022-05-31 00:00:00 +00:00",520,0
1653998400,"2022-05-31 12:00:00 +00:00",964,0
1654041600,"2022-06-01 00:00:00 +00:00",456,0
1654084800,"2022-06-01 12:00:00 +00:00",520,0
1654128000,"2022-06-02 00:00:00 +00:00",708,0
1654171200,"2022-06-02 12:00:00 +00:00",1956,0
1654214400,"2022-06-03 00:00:00 +00:00",1048,0
1654257600,"2022-06-03 12:00:00 +00:00",1368,0
1654300800,"2022-06-04 00:00:00 +00:00",252,0
1654344000,"2022-06-04 12:00:00 +00:00",432,0
1654387200,"2022-06-05 00:00:00 +00:00",376,0
1654430400,"2022-06-05 12:00:00 +00:00",764,0
1654473600,"2022-06-06 00:00:00 +00:00",688,0
1654516800,"2022-06-06 12:00:00 +00:00",1556,0
1654560000,"2022-06-07 00:00:00 +00:00",892,0
1654603200,"2022-06-07 12:00:00 +00:00",1048,0
1654646400,"2022-06-08 00:00:00 +00:00",600,0
1654689600,"2022-06-08 12:00:00 +00:00",1012,0
1654732800,"2022-06-09 00:00:00 +00:00",480,0
1654776000,"2022-06-09 12:00:00 +00:00",1456,0
1654819200,"2022-06-10 00:00:00 +00:00",1352,0
1654862400,"2022-06-10 12:00:00 +00:00",1752,0
1654905600,"2022-06-11 00:00:00 +00:00",820,0
1654948800,"2022-06-11 12:00:00 +00:00",1232,0
1654992000,"2022-06-12 00:00:00 +00:00",852,0
1655035200,"2022-06-12 12:00:00 +00:00",1952,0
1655078400,"2022-06-13 00:00:00 +00:00",824,0
1655121600,"2022-06-13 12:00:00 +00:00",2860,0
1655164800,"2022-06-14 00:00:00 +00:00",1184,0
1655208000,"2022-06-14 12:00:00 +00:00",1660,0
1655251200,"2022-06-15 00:00:00 +00:00",988,0
1655294400,"2022-06-15 12:00:00 +00:00",196,0
