TIMESTAMP,DATE_TIME_UTC,COUNT,RELATIVE_SENTIMENT
1653307200,"2022-05-23 12:00:00 +00:00",8936,0
1653350400,"2022-05-24 00:00:00 +00:00",5136,0
1653393600,"2022-05-24 12:00:00 +00:00",9624,0
1653436800,"2022-05-25 00:00:00 +00:00",5088,0
1653480000,"2022-05-25 12:00:00 +00:00",6956,0
1653523200,"2022-05-26 00:00:00 +00:00",5244,0
1653566400,"2022-05-26 12:00:00 +00:00",8588,0
1653609600,"2022-05-27 00:00:00 +00:00",4016,0
1653652800,"2022-05-27 12:00:00 +00:00",7184,0
1653696000,"2022-05-28 00:00:00 +00:00",2764,0
1653739200,"2022-05-28 12:00:00 +00:00",5808,0
1653782400,"2022-05-29 00:00:00 +00:00",3648,0
1653825600,"2022-05-29 12:00:00 +00:00",11500,0
1653868800,"2022-05-30 00:00:00 +00:00",5872,0
1653912000,"2022-05-30 12:00:00 +00:00",10816,0
1653955200,"2022-05-31 00:00:00 +00:00",7888,0
1653998400,"2022-05-31 12:00:00 +00:00",9844,0
1654041600,"2022-06-01 00:00:00 +00:00",4220,0
1654084800,"2022-06-01 12:00:00 +00:00",6520,0
1654128000,"2022-06-02 00:00:00 +00:00",3244,0
1654171200,"2022-06-02 12:00:00 +00:00",4864,0
1654214400,"2022-06-03 00:00:00 +00:00",3992,0
1654257600,"2022-06-03 12:00:00 +00:00",5772,0
1654300800,"2022-06-04 00:00:00 +00:00",4056,0
1654344000,"2022-06-04 12:00:00 +00:00",5164,0
1654387200,"2022-06-05 00:00:00 +00:00",3948,0
1654430400,"2022-06-05 12:00:00 +00:00",8332,0
1654473600,"2022-06-06 00:00:00 +00:00",8864,0
1654516800,"2022-06-06 12:00:00 +00:00",15604,0
1654560000,"2022-06-07 00:00:00 +00:00",8732,0
1654603200,"2022-06-07 12:00:00 +00:00",11636,0
1654646400,"2022-06-08 00:00:00 +00:00",5200,0
1654689600,"2022-06-08 12:00:00 +00:00",7844,0
1654732800,"2022-06-09 00:00:00 +00:00",4760,0
1654776000,"2022-06-09 12:00:00 +00:00",10644,0
1654819200,"2022-06-10 00:00:00 +00:00",8260,0
1654862400,"2022-06-10 12:00:00 +00:00",9132,0
1654905600,"2022-06-11 00:00:00 +00:00",4388,0
1654948800,"2022-06-11 12:00:00 +00:00",8208,0
1654992000,"2022-06-12 00:00:00 +00:00",4132,0
1655035200,"2022-06-12 12:00:00 +00:00",10472,0
1655078400,"2022-06-13 00:00:00 +00:00",5608,0
1655121600,"2022-06-13 12:00:00 +00:00",14884,0
1655164800,"2022-06-14 00:00:00 +00:00",9472,0
1655208000,"2022-06-14 12:00:00 +00:00",13588,0
1655251200,"2022-06-15 00:00:00 +00:00",7788,0
